Source,Target,Type
102,97,Directed
19,94,Directed
54,91,Directed
28,14,Directed
104,31,Directed
104,67,Directed
104,97,Directed
10,89,Directed
10,34,Directed
92,91,Directed
92,88,Directed
129,89,Directed
129,95,Directed
12,95,Directed
61,97,Directed
64,93,Directed
1,113,Directed
5,14,Directed
105,97,Directed
105,94,Directed
105,34,Directed
130,89,Directed
130,97,Directed
130,95,Directed
71,108,Directed
107,23,Directed
128,89,Directed
128,67,Directed
128,97,Directed
128,95,Directed
128,34,Directed
111,67,Directed
76,113,Directed
72,97,Directed
72,94,Directed
85,89,Directed
35,31,Directed
132,31,Directed
70,108,Directed
116,108,Directed
116,34,Directed
62,67,Directed
110,31,Directed
65,91,Directed
96,95,Directed
68,67,Directed
66,67,Directed
20,95,Directed
3,23,Directed
119,94,Directed
50,89,Directed
51,67,Directed
18,59,Directed
18,30,Directed
18,29,Directed
18,15,Directed
18,8,Directed
18,6,Directed
36,67,Directed
36,113,Directed
39,91,Directed
39,67,Directed
39,95,Directed
39,34,Directed
83,67,Directed
56,2,Directed
122,113,Directed
49,94,Directed
126,95,Directed
99,97,Directed
123,89,Directed
48,67,Directed
48,94,Directed
74,67,Directed
16,31,Directed
16,91,Directed
16,89,Directed
16,14,Directed
16,67,Directed
16,113,Directed
16,2,Directed
16,97,Directed
16,95,Directed
16,34,Directed
42,67,Directed
125,67,Directed
125,113,Directed
125,2,Directed
125,97,Directed
125,95,Directed
34,38,Directed
34,38,Directed
11,94,Directed
108,131,Directed
108,125,Directed
108,118,Directed
108,115,Directed
108,109,Directed
108,86,Directed
108,75,Directed
108,60,Directed
108,59,Directed
108,58,Directed
108,55,Directed
108,53,Directed
108,52,Directed
108,45,Directed
108,40,Directed
108,26,Directed
108,22,Directed
108,7,Directed
9,67,Directed
44,2,Directed
81,95,Directed
106,67,Directed
106,34,Directed
41,2,Directed
32,67,Directed
32,113,Directed
0,97,Directed
0,34,Directed
79,88,Directed
79,67,Directed
13,14,Directed
89,90,Directed
89,90,Directed
124,95,Directed
90,89,Directed
90,89,Directed
67,112,Directed
67,103,Directed
67,87,Directed
67,84,Directed
67,82,Directed
67,25,Directed
21,2,Directed
14,77,Directed
47,67,Directed
121,94,Directed
33,67,Directed
114,113,Directed
73,113,Directed
37,14,Directed
37,67,Directed
37,113,Directed
37,95,Directed
94,119,Directed
94,11,Directed
97,91,Directed
97,91,Directed
4,67,Directed
4,97,Directed
69,67,Directed
69,113,Directed
69,34,Directed
17,89,Directed
17,2,Directed
17,97,Directed
127,67,Directed
38,34,Directed
38,34,Directed
120,31,Directed
43,91,Directed
43,67,Directed
43,113,Directed
43,95,Directed
59,91,Directed
59,89,Directed
59,18,Directed
59,14,Directed
59,2,Directed
59,97,Directed
59,108,Directed
59,23,Directed
59,93,Directed
59,94,Directed
59,95,Directed
59,34,Directed
98,67,Directed
24,67,Directed
46,91,Directed
46,89,Directed
57,31,Directed
117,97,Directed
101,31,Directed
101,89,Directed
101,14,Directed
101,67,Directed
101,113,Directed
101,2,Directed
101,97,Directed
101,23,Directed
101,93,Directed
101,94,Directed
101,95,Directed
101,34,Directed
100,31,Directed
100,14,Directed
100,67,Directed
100,113,Directed
100,2,Directed
100,34,Directed
63,67,Directed
27,67,Directed
27,2,Directed
27,97,Directed
27,93,Directed
78,88,Directed
80,23,Directed
80,94,Directed
