EIN,assets,name,Arts,city,state,zip,address,MatchScore,Latitude,Longitude,MatchType,ID
470920831,112264652,CONTEMPOARY JEWISH MUSEUM,1,SAN FRANCISCO,CA,94103-3113,736 MISSION ST,100,37.78617481,-122.4022633,Exact,0
942990335,46604496,SAN FRANCISCO JAZZ ORGANIZATION,1,SAN FRANCISCO,CA,94102-0000,201 FRANKLIN ST,100,37.77615055,-122.4212381,Exact,1
946068564,206983820,WALTER AND ELISE HAAS FUND,1,SAN FRANCISCO,CA,94111-1203,1155 BATTERY STREET LS7,99.40828402,37.80179146,-122.402309,Relaxed,2
946096509,468218866,FINE ARTS MUSEUMS FOUNDATION,1,SAN FRANCISCO,CA,94118-4502,50 HAGIWARA TEA GARDEN DR,100,37.780181,-122.458762,Exact,3
946135772,44088359,AMERICAN CONSERVATORY THEATRE FOUNDATION,1,SAN FRANCISCO,CA,94108-5880,30 GRANT AVE FL 6,99.40828402,37.78751117,-122.4047027,Relaxed,4
941156284,306759580,SAN FRANCISCO SYMPHONY,1,SAN FRANCISCO,CA,94102-4507,201 VAN NESS AVE,100,37.77773022,-122.4199475,Exact,5
202939516,276377,JOANNE AND PETER HAAS JR FUND,1,SAN FRANCISCO,CA,94111-1203,1155 BATTERY STREET STE LS7W,99.40828402,37.80179146,-122.402309,Relaxed,6
943244838,25196026,TAUBE FOUNDATION FOR JEWISH LIFE AND CULTURE,1,SAN FRANCISCO,CA,94105-1236,121 STEUART STREET,99.40828402,37.79314549,-122.3925414,Relaxed,7
941156485,128347593,CALIFORNIA COLLEGE OF THE ARTS,1,SAN FRANCISCO,CA,94107-2247,1111 8TH ST,100,37.76724052,-122.4002115,Exact,8
651173567,21523,RAY OF LIGHT THEATRE,1,SAN FRANCISCO,CA,94122-5265,PO BOX 225265,100,37.760276,-122.482029,Exact,9
942814266,60278309,CLARENCE E HELLER CHARITABLE FOUNDATION,1,SAN FRANCISCO,CA,94104-4718,44 MONTGOMERY ST STE 1970,99.40828402,37.78980767,-122.4017669,Relaxed,10
954635927,100176327,WALT DISNEY FAMILY FOUNDATION,1,SAN FRANCISCO,CA,94129-1718,104 MONTGOMERY ST,92.01183432,37.79009931,-122.4021104,Relaxed,11
941236937,1469455309,JAMES IRVINE FOUNDATION,1,SAN FRANCISCO,CA,94105-2858,575 MARKET ST STE 3400,99.40828402,37.78955085,-122.4003596,Relaxed,12
204571122,9018809,BERNARD AND BARBRO FOUNDATION,1,SAN FRANCISCO,CA,94105-1236,121 STEUART STREET,99.40828402,37.79314549,-122.3925414,Relaxed,13
941241309,101383841,KQED INC,1,SAN FRANCISCO,CA,94110-1426,2601 MARIPOSA ST,99.40828402,37.76261092,-122.4097192,Relaxed,14
10679337,1088106863,SAN FRANCISCO FOUNDATION,1,SAN FRANCISCO,CA,94104-4224,225 BUSH ST STE 500,99.40828402,37.79083843,-122.4011604,Relaxed,15
941696494,157012815,THE EXPLORATORIUM,1,SAN FRANCISCO,CA,94123-1019,3601 LYON ST,100,37.80406814,-122.4482683,Exact,16
941156300,262858593,SAN FRANCISCO MUSEUM OF MODERN ART,1,SAN FRANCISCO,CA,94103-3107,151 3RD ST,99.40828402,37.78592298,-122.4007496,Relaxed,17
946064502,259937018,RICHARD AND RHODA GOLDMAN FUND,1,SAN FRANCISCO,CA,94111-1976,160 PACIFIC AVE STE 200,100,37.79807252,-122.3987489,Exact,18
941415298,63784244,SAN FRANCISCO BALLET ASSOCIATION,1,SAN FRANCISCO,CA,94102-4438,455 FRANKLIN ST 3RD FLR,99.40828402,37.77851568,-122.421895,Relaxed,19
941196211,44743170,SAN FRANCISCO ART INSTITUTE,1,SAN FRANCISCO,CA,94133-2206,800 CHESTNUT ST,99.40828402,37.80373776,-122.4171903,Relaxed,20
941156610,113080531,SAN FRANCISCO CONSERVATORY OF MUSIC INC,1,SAN FRANCISCO,CA,94102-6011,50 OAK ST,100,37.77541478,-122.420189,Exact,21
256277031,15328772,WINIFRED JOHNSON CLIVE FOUNDATION,1,SAN FRANCISCO,CA,94109-5308,1660 BUSH ST 300,99.40828402,37.78841848,-122.4245642,Relaxed,22
912146802,46401225,MUSIC CONCOURSE COMMUNITY PARTNERSHIP,1,SAN FRANCISCO,CA,94111-3530,1 MARITIME PLZ STE 1925,100,37.79801,-122.396965,Exact,23
941704765,116387106,ASIAN ART MUSEUM FOUNDATION OF SAN FRANCISCO,1,SAN FRANCISCO,CA,94102-4734,200 LARKIN ST,100,37.77959734,-122.4166788,Exact,24
943148482,359228314,WILLIAM K BOWES JR FOUNDATION,1,SAN FRANCISCO,CA,94109-5308,1660 BUSH ST STE 300,99.40828402,37.78841848,-122.4245642,Relaxed,25
946065226,55816708,WALLACE ALEXANDER GERBODE FOUNDATION,1,SAN FRANCISCO,CA,94111-5624,111 PINE ST STE 1515,99.40828402,37.79214331,-122.3988967,Relaxed,26
942747262,94699331,SAN FRANCISCO BALLET ENDOWMENT FOUNDATION,1,SAN FRANCISCO,CA,94102-4438,455 FRANKLIN ST,99.40828402,37.77851568,-122.421895,Relaxed,27
421444870,47815160,FRED MAYTAG FAMILY FOUNDATION,1,SAN FRANCISCO,CA,94118-1705,3701 SACRAMENTO ST STE 369,99.40828402,37.78711805,-122.4537248,Relaxed,28
940836240,211119844,SAN FRANCISCO OPERA ASSOCIATION,1,SAN FRANCISCO,CA,94102-0000,301 VAN NESS AVE WAR MEMORIAL OPERA,94.73372781,37.768258,-122.4174732,Relaxed,29
943045948,24281274,CORPORATION OF THE FINE ARTS MUSEUMS,1,SAN FRANCISCO,CA,94118-4502,50 HAGIWARA TEA GARDEN DR,100,37.780181,-122.458762,Exact,30
943263448,65493217,THE KIMBALL FOUNDATION,1,SAN FRANCISCO,CA,94109-5308,1660 BUSH ST,99.40828402,37.78841848,-122.4245642,Relaxed,31
201986583,34686142,SAN SIMEON FUND,1,SAN FRANCISCO,CA,94103-2040,765 MARKET ST APT 34D,99.40828402,37.78539565,-122.404391,Relaxed,32
