source,target,value
102,97,1
19,94,1
54,91,1
28,14,1
104,31,1
104,67,1
104,97,1
10,89,1
10,34,1
92,91,1
92,88,1
129,89,1
129,95,1
12,95,1
61,97,1
64,93,1
1,113,1
5,14,1
105,97,1
105,94,1
105,34,1
130,89,1
130,97,1
130,95,1
71,108,1
107,23,1
128,89,1
128,67,1
128,97,1
128,95,1
128,34,1
111,67,1
76,113,1
72,97,1
72,94,1
85,89,1
35,31,1
132,31,1
70,108,1
116,108,1
116,34,1
62,67,1
110,31,1
65,91,1
96,95,1
68,67,1
66,67,1
20,95,1
3,23,1
119,94,1
50,89,1
51,67,1
18,59,1
18,30,1
18,29,1
18,15,1
18,8,1
18,6,1
36,67,1
36,113,1
39,91,1
39,67,1
39,95,1
39,34,1
83,67,1
56,2,1
122,113,1
49,94,1
126,95,1
99,97,1
123,89,1
48,67,1
48,94,1
74,67,1
16,31,1
16,91,1
16,89,1
16,14,1
16,67,1
16,113,1
16,2,1
16,97,1
16,95,1
16,34,1
42,67,1
125,67,1
125,113,1
125,2,1
125,97,1
125,95,1
34,38,1
34,38,1
11,94,1
108,131,1
108,125,1
108,118,1
108,115,1
108,109,1
108,86,1
108,75,1
108,60,1
108,59,1
108,58,1
108,55,1
108,53,1
108,52,1
108,45,1
108,40,1
108,26,1
108,22,1
108,7,1
9,67,1
44,2,1
81,95,1
106,67,1
106,34,1
41,2,1
32,67,1
32,113,1
0,97,1
0,34,1
79,88,1
79,67,1
13,14,1
89,90,1
89,90,1
124,95,1
90,89,1
90,89,1
67,112,1
67,103,1
67,87,1
67,84,1
67,82,1
67,25,1
21,2,1
14,77,1
47,67,1
121,94,1
33,67,1
114,113,1
73,113,1
37,14,1
37,67,1
37,113,1
37,95,1
94,119,1
94,11,1
97,91,1
97,91,1
4,67,1
4,97,1
69,67,1
69,113,1
69,34,1
17,89,1
17,2,1
17,97,1
127,67,1
38,34,1
38,34,1
120,31,1
43,91,1
43,67,1
43,113,1
43,95,1
59,91,1
59,89,1
59,18,1
59,14,1
59,2,1
59,97,1
59,108,1
59,23,1
59,93,1
59,94,1
59,95,1
59,34,1
98,67,1
24,67,1
46,91,1
46,89,1
57,31,1
117,97,1
101,31,1
101,89,1
101,14,1
101,67,1
101,113,1
101,2,1
101,97,1
101,23,1
101,93,1
101,94,1
101,95,1
101,34,1
100,31,1
100,14,1
100,67,1
100,113,1
100,2,1
100,34,1
63,67,1
27,67,1
27,2,1
27,97,1
27,93,1
78,88,1
80,23,1
80,94,1
