ID,EIN,Label,Address,City,State,Zip,Assets,Income,Revenue,
0,943210509,ALEXANDER M AND JUNE L MAISIN FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,"52,096,726","8,528,811","2,051,918",
1,582138525,ALLIANCE OF ARTISTS COMMUNITIES,255 S MAIN ST,PROVIDENCE ,RI,02903-291,"487,568","849,587","839,667",Nonprofit Management
2,946135772,AMERICAN CONSERVATORY THEATRE FOUNDATION,30 GRANT AVE FL 6,SAN FRANCISCO ,CA,94108-588,"44,088,359","19,963,486","18,222,105",
3,131566058,AMERICAN CRAFT COUNCIL,1224 MARSHALL ST NE STE 200,MINNEAPOLIS ,MN,55413-108,"7,343,454","5,046,248","4,835,964",
4,341747398,AMERICAN ENDOWMENT FOUNDATION,PO BOX 911,HUDSON ,OH,44236-591,"329,375,167","133,686,889","133,686,889",Community Foundations
5,133813924,AMERICAN FRIENDS OF THE SHANGHAI MUSEUM INC,530 E 86TH ST SUITE 10 B,NEW YORK ,NY,10028-753,"555,418","121,744","121,744",
6,942951480,AMERICAN HIMALAYAN FOUNDATION,909 MONTGOMERY ST,SAN FRANCISCO ,CA,94133-461,"8,872,506","5,542,229","5,289,927",
7,131656634,AMERICAN JEWISH JOINT DISTRIBUTION COMMITTEE INC,711 THIRD AVE,NEW YORK ,NY,10017-401,"483,793,948","376,036,280","316,241,721",
8,530196549,AMERICAN UNIVERSITY,C/O CONTROLLERS OFFICE,WASHINGTON ,DC,20016-000,"1,419,399,768","785,138,465","620,191,993",
9,201514742,ANDROCLES FOUNDATION INC,534 BROADHOLLOW RD STE 120,MELVILLE ,NY,11747-360,"27,465,398",None,None,Private Grantmaking Foundations
10,363337340,AON FOUNDATION,PO BOX 81200,CHICAGO ,IL,60681-020,"50,035",None,None,
11,943325776,ART SUPPORTING FOUNDATION,601 CALIFORNIA STREET,SAN FRANCISCO ,CA,94108-280,"24,338,041","259,134","259,134","Museum, Museum Activities"
12,30524939,ARTS FEDERATION INC,125 WASHINGTON ST STE 201,SALEM ,MA,01970-353,"94,386","204,855","204,855",Fund Raising Organizations That Cross Categories
13,941191246,ASIA FOUNDATION,465 CALIFORNIA ST FL 9,SAN FRANCISCO ,CA,94104-182,"61,636,301","154,671,812","148,526,277",
14,941704765,ASIAN ART MUSEUM FOUNDATION OF SAN FRANCISCO,200 LARKIN ST,SAN FRANCISCO ,CA,94102-473,"116,387,106","157,116,526","55,490,252",
15,10459572,ASSOCIATES OF THE OSHER MAP LIBRARY,PO BOX 9301,PORTLAND ,ME,04104-930,"2,069,047","1,314,041","1,016,634",
16,431353948,AT&T FOUNDATION,208 S AKARD 100,DALLAS ,TX,75202-420,"18,655,778",None,None,"Scholarships, Student Financial Aid Services, Awards"
17,141782466,AYCO CHARITABLE FOUNDATION,25 BRITISH AMERICAN BLVD,LATHAM ,NY,12110-140,"346,433,200","538,986,614","161,373,700",
18,204571122,BERNARD AND BARBRO FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,"9,018,809","214,880","101,448",Public Foundations
19,776032284,BERNARD L MESSINGER FAMILY LIVING TRUST DTD 080582,PO BOX Q,CARMEL ,CA,93921-058,"6,720 Income 32,713",,"32,713 Deductability",
20,510515757,BINGHAM OSBORN & SCARBOROUGH FOUNDATION,5 HAMILTON LNDG STE 200,NOVATO ,CA,94949-826,"7,214,396","1,249,658","690,174",Single Organization Support
21,136092981,BOARD OF TRUSTEES EQUITY LEAGUE HEALTH TRUST FUND,165 W 46TH ST FL 14,NEW YORK ,NY,10036-250,"114,089,977","163,743,235","68,083,932",
22,941156258,CALIFORNIA ACADEMY OF SCIENCE,55 MUSIC CONCOURSE DR,SAN FRANCISCO ,CA,94118-450,"830,687,480","1,774,849,447","65,982,876",
23,941156485,CALIFORNIA COLLEGE OF THE ARTS,1111 8TH ST,SAN FRANCISCO ,CA,94107-224,"128,347,593","101,575,425","83,742,703",
24,954523231,CALIFORNIA HEALTHCARE FOUNDATION,1438 WEBSTER ST STE 400,OAKLAND ,CA,94612-322,"722,790,343","65,557,284","24,449,889",
25,952962604,CALIFORNIA LUTHERAN UNIVERSITY,60 WEST OLSEN ROAD M/C 1200,THOUSAND OAKS ,CA,91360-270,"239,666,769","158,581,044","127,703,378",
26,581970134,CENTRAL EUROPE CENTER FOR RESEARCH & DOCUMENTATION INC,1141 LOXFORD TER,SILVER SPRING ,MD,20901-113,"178,066","997,432","997,432",
27,363432023,CHICAGO COMMUNITY FOUNDATION,225 N MICHIGAN AVE,CHICAGO ,IL,60601-775,None,None,None,
28,770414442,CHONG-MOON LEE FOUNDATION,2440 W EL CAMINO REAL STE 300,MOUNTAIN VIEW ,CA,94040-149,"28,578","585,000","585,000",
29,237098397,COLORADO STATE UNIVERSITY FOUNDATION,410 UNIVERSITY SERVICES CTR,FT COLLINS ,CO,80523-910,"325,352,506","138,441,520","54,519,612",
30,412024986,COMMON SENSE MEDIA,650 TOWNSEND ST STE 435,SAN FRANCISCO ,CA,94103-622,"9,583,277","13,763,695","13,071,783","Arts, Culture, and Humanities N.E.C."
31,470920831,CONTEMPOARY JEWISH MUSEUM,736 MISSION ST,SAN FRANCISCO ,CA,94103-311,"112,264,652","19,133,917","11,395,532",History Museums
32,222848738,CORNELL UNIVERSITY FOUNDATION,130 E SENECA ST STE 400,ITHACA ,NY,14850-435,"50,676,357","30,822,308","9,544,547",
33,132607374,CORPORATION FOR PUBLIC BROADCASTING,401 9TH STREET NW,WASHINGTON ,DC,20004-212,"202,026,503","1,074,930,065","473,225,376",
34,943045948,CORPORATION OF THE FINE ARTS MUSEUMS,50 HAGIWARA TEA GARDEN DR,SAN FRANCISCO ,CA,94118-450,"24,281,274","47,249,595","42,113,660",
35,363722029,COVENANT FOUNDATION,1270 AVE OF THE AMERICAS,NEW YORK ,NY,10020-170,"2,662,666","3,747,286","3,747,286",
36,721563142,DIRK AND CHARLENE KABCENELL FOUNDATION,2440 W EL CAMINO REAL STE 300,MOUNTAIN VIEW ,CA,94040-149,"9,308,193","2,704,452","2,655,514",Private Independent Foundations
37,946070996,EAST BAY COMMUNITY FOUNDATION,200 FRANK H OGAWA PLZ,OAKLAND ,CA,94612-200,"262,358,564","23,737,081","23,605,868",
38,946096509,FINE ARTS MUSEUMS FOUNDATION,50 HAGIWARA TEA GARDEN DR,SAN FRANCISCO ,CA,94118-450,"468,218,866","175,540,765","21,535,198",
39,946107956,FRANK A CAMPINI FOUNDATION,220 SANSOME ST STE 700,SAN FRANCISCO ,CA,94104-272,"10,069,299",None,None,
40,450501297,FRIENDS OF THE JEWISH CULTURE FESTIVAL SOCIETY INC,300 E 42ND ST 8TH FLR,NEW YORK ,NY,10017-594,"27,561","336,276","331,581","Cultural, Ethnic Awareness"
41,237404790,GENERAL EMPLOYEES TRUST FUND,2323 EASTLAKE AVE E,SEATTLE ,WA,98102-330,"42,425,116","124,987,503","90,737,212",
42,521273585,GLOBAL IMPACT,1199 N FAIRFAX ST STE 300,ALEXANDRIA ,VA,22314-144,"19,809,362","100,197,302","99,609,283",
43,311774905,GOLDMAN SACHS PHILANTHROPY FUND,30 HUDSON ST 15TH FL,JERSEY CITY ,NJ,07302-460,"591,788,105","911,924,652","273,830,821",Public Foundations
44,541282616,GOOD360,1330 BRADDOCK PL STE 600,ALEXANDRIA ,VA,22314-970,"30,707,391","298,677,645","298,677,645",
45,941581707,GRADUATE THEOLOGICAL UNION,2400 RIDGE RD,BERKELEY ,CA,94709-121,"44,772,918","17,866,922","8,058,501",
46,431152398,GREATER KANSAS CITY COMMUNITY FOUNDATION,1055 BROADWAY ST STE 130,KANSAS CITY ,MO,64105-159,"1,161,708,348","321,967,410","152,012,476",
47,530242992,GREATER WASHINGTON EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION INC,3939 CAMPBELL AVENUE,ARLINGTON ,VA,22206-344,"139,178,817","76,353,389","75,616,114",
48,426549922,HEARTLAND CHARITABLE TRUST,PO BOX 747,DUBUQUE ,IA,52004-074,"16,868,813","15,948,711","6,103,331",Fund Raising Organizations That Cross Categories
49,300098254,HOMEBUILDING COMMUNITY FOUNDATION,5120 WOODWAY DR STE 6000,HOUSTON ,TX,77056-179,"12,978,591","7,432,069","977,292",
50,942686530,HORIZONS FOUNDATION,550 MONTGOMERY STREET SUITE 70,SAN FRANCISCO ,CA,94111-253,"7,591,272","4,947,771","2,678,194",
51,943067804,INDEPENDENT CHARITIES OF AMERICA,1100 LARKSPUR LANDING CIRCLE,LARKSPUR ,CA,94939-182,"7,897,786","34,066,461","34,066,461",
52,943307253,INSTITUTE FOR JEWISH AND COMMUNITY RESEARCH,3198 FULTON ST,SAN FRANCISCO ,CA,94118-381,"7,139,090","2,749,875","812,904",Ethnic Studies
53,136162841,INTERNATIONAL COMMITTEE ON JOURNALISM INC,370 1ST AVE APT 2C,NEW YORK ,NY,10010-494,1,"1,176","1,176",
54,946757863,JACK H LUND CHARITABLE TR,1000 LOMBARD ST,SAN FRANCISCO ,CA,94109-151,"12,297",None,None,Fund Raising and/or Fund Distribution
55,133852855,JAVNE FUND,420 COLUMBUS AVE STE 304,VALHALLA ,NY,10595-138,"74,942","750,577","750,577",Goodwill Industries
56,521611546,JEWELS OF CHARITY INC,443 NORTHFIELD AVE,WEST ORANGE ,NJ,07052-309,"12,401,295","3,153,267","22,188",
57,237174183,JEWISH COMMUNAL FUND,575 MADISON AVENUE,NEW YORK ,NY,10022-251,"1,179,807,027","1,948,411,362","390,169,085",
58,943227260,JEWISH COMMUNITY CENTER OF SAN FRANCISCO,3200 CALIFORNIA ST,SAN FRANCISCO ,CA,94118-190,"129,556,064","43,044,662","34,060,303",
59,941156533,JEWISH COMMUNITY FEDERATION OF S F MARIN PENINSULA & SONOMA COUNTIES,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,"675,137,451","161,192,035","99,552,932",
60,941156528,JEWISH FAMILY & CHILDRENS SERVICES,2150 POST ST,SAN FRANCISCO ,CA,94115-350,"68,195,545","44,974,171","31,667,544",
61,946063948,JULIA KLUMPKE TRUST,695 PACHECO ST,SAN FRANCISCO ,CA,94116-137,"174,671","25,879","17,333",
62,943331010,JUSTGIVE,312 SUTTER ST STE 410,SAN FRANCISCO ,CA,94108-431,"3,283,395","42,459,207","42,358,313",Fund Raising and/or Fund Distribution
63,941105628,KAISER FOUNDATION HOSPITALS,2701 NW VAUGHN STREET,PORTLAND ,OR,97210-531,"28,948,439,297","24,188,927,784","17,980,030,355",
64,316675733,KANBAR CHARITABLE TR,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,"397,123","1,700,001","1,700,001",Single Organization Support
65,363160355,KIRKLAND & ELLIS FOUNDATION,300 N LASALLE DR STE 1018,CHICAGO ,IL,60654-340,"4,272,186","8,434,639","7,178,264",
66,770557004,KLA-TENCOR FOUNDATION,1 TECHNOLOGY DR,MILPITAS ,CA,95035-791,"6,194,253",None,None,Corporate Foundations
67,941241309,KQED INC,2601 MARIPOSA ST,SAN FRANCISCO ,CA,94110-142,"101,383,841","63,996,680","61,893,211",
68,770273721,LOS ALTOS COMMUNITY FOUNDATION,183 HILLVIEW AVE,LOS ALTOS ,CA,94022-374,"5,737,197","8,237,518","921,746",Community Foundations
69,943007979,MARIN COMMUNITY FOUNDATION,5 HAMILTON LANDING STE 200,NOVATO ,CA,94949-826,"333,013,779","111,341,426","97,593,235",
70,237749796,MIDDLE EAST FORUM,SUITE 1050,PHILADELPHIA ,PA,19102-000,"2,741,137","4,690,909","4,676,303",
